area, url, browserDetection, cssprefixes, edge, jslibs, pluginfree
USA, http://netflix.com, 1, 1, 1, 1, 1
USA, http://worldwinner.com, 1, 1, 1, 1, 1
USA, http://minecraft.net, 1, 1, 1, 1, 1
USA, http://mail.qq.com, 1, 1, 1, 1, 1
USA, http://mypage.ameba.jp, 1, 1, 1, 1, 1
USA, http://xnxx.com, 1, 1, 1, 1, 1
USA, http://126.com, 1, 0, 1, 1, 1
USA, http://autotrader.co.uk, 1, 1, 1, 1, 1
USA, http://blocket.se, 1, 1, 1, 1, 1
USA, http://rightmove.co.uk, 0, 1, 1, 1, 1
USA, http://lloydsbank.co.uk, 1, 1, 1, 1, 1
USA, http://sukebei.nyaa.se, 1, 1, 1, 1, 1
USA, http://lenovo.com, 0, 1, 1, 0, 1
USA, http://zillow.com, 1, 1, 1, 1, 1
USA, http://mangahere.co, 0, 1, 1, 1, 1
USA, http://dmm.com, 0, 1, 1, 1, 1
USA, http://so-net.ne.jp, 0, 0, 1, 0, 1
USA, http://wikipedia.org, 1, 1, 1, 1, 1
USA, http://poczta.onet.pl, 1, 1, 1, 1, 1
USA, http://vimeo.com, 1, 1, 1, 1, 1
USA, http://craigslist.org, 1, 1, 1, 1, 1
USA, http://navyfederal.org, 0, 1, 1, 1, 1
USA, http://walgreens.com, 1, 1, 0, 1, 1
USA, http://monster.com, 1, 1, 0, 1, 1
USA, http://mail.aol.com, 1, 1, 1, 1, 1
USA, http://soundcloud.com, 0, 1, 1, 1, 1
USA, http://mcafee.com, 0, 0, 0, 0, 1
USA, http://ups.com, 1, 0, 0, 1, 1
USA, http://dinos.co.jp, 0, 0, 1, 0, 1
USA, http://wikiwiki.jp, 1, 0, 1, 1, 1
USA, http://mercadolibre.com.mx, 0, 1, 1, 1, 1
USA, http://image.baidu.com, 1, 1, 1, 1, 1
USA, http://sfr.fr, 0, 0, 1, 0, 1
USA, http://suchen.mobile.de, 0, 1, 1, 1, 1
USA, http://go.mail.ru, 0, 1, 1, 1, 1
USA, http://mangafox.me, 0, 1, 1, 1, 1
USA, http://photobucket.com, 1, 1, 1, 1, 1
USA, http://kakaku.com, 0, 1, 1, 0, 1
USA, http://suumo.jp, 0, 1, 0, 0, 1
USA, http://warau.jp, 1, 1, 1, 1, 1
USA, http://td.com, 0, 0, 1, 1, 1
USA, http://realestate.com.au, 0, 1, 1, 1, 1
USA, http://orange.co.uk, 0, 1, 1, 1, 1
USA, http://royalgames.com, 1, 0, 1, 1, 1
USA, http://hm.com, 0, 1, 0, 1, 1
USA, http://iminent.com, 0, 1, 1, 1, 1
USA, http://outbrain.com, 1, 1, 1, 1, 1
USA, http://baike.baidu.com, 1, 1, 1, 1, 1
USA, http://comcast.net, 0, 1, 1, 1, 1
USA, http://skype.com, 0, 1, 1, 1, 1
USA, http://cnn.com, 0, 1, 1, 1, 1
USA, http://gunbroker.com, 1, 1, 1, 1, 1
USA, http://hotpepper.jp, 1, 1, 1, 1, 1
USA, http://vrbo.com, 1, 1, 1, 1, 1
USA, http://my.ebay.de, 1, 1, 1, 1, 1
USA, http://dic.nicovideo.jp, 0, 1, 1, 1, 1
USA, http://pex.jp, 0, 0, 1, 1, 1
USA, http://zulily.com, 1, 0, 1, 1, 1
USA, http://tokyodisneyresort.jp, 0, 1, 1, 1, 1
USA, http://asda.com, 1, 1, 1, 1, 1
USA, http://stardoll.com, 1, 1, 1, 1, 1
USA, http://avg.com, 1, 1, 1, 1, 1
